ID,nest,year,firstFound,lastPresent,lastChecked,fate,ageDay1,site,rat5,rat6,rat7,rat8,rat9,rat10,mouse5,mouse6,mouse7,mouse8,mouse9,mouse10,habitat,orientation,proximate_village,elevation,nest_width,nest_height,nest_lenght,chamber,substrate,walls,vegetation_cover,curved_entrance,predated,predator
228,823,2009,2,12,13,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,130,90,80,yes,rock,no,0,0,1,cat
228,824,2009,1,21,21,0,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,9,85,34,134,yes,rock,no,0,0,0,unpred
228,825,2009,2,21,21,0,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,80,11,140,yes,rock,no,0,0,0,unpred
228,826,2009,1,9,10,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,9,32,25,48,yes,rock,no,0,0,1,cat
228,827,2009,2,9,10,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,55.5,64,105,yes,rock,no,0,0,1,cat
228,828,2009,1,2,3,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,18,36,26,50,yes,rock,no,0,0,1,cat
228,829,2009,1,9,10,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,18,32,56,94.5,yes,rock,no,0,0,1,cat
228,830,2009,2,21,21,0,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,18,20,12.5,48,yes,rock,no,0,0,0,unpred
228,831,2009,2,8,9,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,17,60,32,30,yes,rock,no,0,0,1,cat
228,10a),2009,2,21,21,0,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,165,66,37,165,yes,soil,no,80,0,0,unpred
228,10b),2009,2,11,12,1,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,165,49,35,47,no,soil,no,80,0,0,unpred
228,114a),2009,2,14,15,1,-10,Miradouro do Portal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,Arundo donax,S,180,123,36,25,23,no,soil,no,40,1,1,cat
228,114b),2009,2,21,21,0,-10,Miradouro do Portal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,Arundo donax,S,180,123,30,27,54,no,soil,no,40,1,0,unpred
228,114c),2009,2,9,10,1,-9,Miradouro do Portal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,Arundo donax,S,180,123,29,24,58,no,soil,no,40,1,1,cat
228,124F,2009,2,14,15,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,8,23.5,39,70,yes,rock,no,0,0,1,cat
228,12a),2009,2,11,12,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,110.5,36.5,128,yes,rock,no,0,0,1,cat
228,12b),2009,1,21,21,0,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,110.5,36.5,128,yes,rock,no,0,0,0,unpred
